date;SO4;MP2.5;MP10;Tem_amb_med
2018-01-01;1.0;17.0;4.0;19.7
2018-01-02;1.0;17.0;2.0;19.6
2018-01-03;1.0;18.0;4.0;19.8
2018-01-04;1.0;15.0;4.0;19.7
2018-01-05;1.0;16.0;5.0;19.9
2018-01-06;1.0;13.0;4.0;20.0
2018-01-07;1.0;15.0;4.0;20.0
2018-01-08;1.0;15.0;2.0;20.1
2018-01-09;1.0;15.0;2.0;20.1
2018-01-10;1.0;12.0;1.0;20.0
2018-01-11;1.0;16.0;1.0;20.0
2018-01-12;1.0;16.0;3.0;20.0
2018-01-13;1.0;15.0;3.0;20.2
2018-01-14;1.0;11.0;2.0;20.3
2018-01-15;1.0;13.0;1.0;20.4
2018-01-16;1.0;14.0;2.0;20.4
2018-01-17;1.0;17.0;4.0;20.6
2018-01-18;1.0;15.0;3.0;20.5
2018-01-19;1.0;18.0;4.0;20.4
2018-01-20;1.0;13.0;2.0;20.4
2018-01-21;1.0;12.0;2.0;20.4
2018-01-22;1.0;13.0;2.0;20.4
2018-01-23;1.0;16.0;3.0;20.3
2018-01-24;1.0;17.0;3.0;20.4
2018-01-25;1.0;18.0;4.0;20.3
2018-01-26;1.0;18.0;5.0;20.4
2018-01-27;1.0;19.0;6.0;20.4
2018-01-28;1.0;17.0;5.0;20.4
2018-01-29;1.0;20.0;6.0;20.6
2018-01-30;1.0;17.0;3.0;20.5
2018-01-31;1.0;14.0;3.0;20.3
2018-02-01;1.0;18.0;5.0;20.5
2018-02-02;1.0;17.0;4.6;20.3
2018-02-03;1.0;15.0;4.0;20.3
2018-02-04;1.0;18.0;6.0;20.3
2018-02-05;1.0;17.0;4.0;20.4
2018-02-06;1.0;18.0;3.0;20.4
2018-02-07;1.0;16.0;4.0;20.2
2018-02-08;1.0;13.0;1.0;20.2
2018-02-09;1.0;19.0;0.0;20.2
2018-02-10;1.0;21.0;2.0;20.3
2018-02-11;1.0;23.0;7.0;20.3
2018-02-12;1.0;19.0;6.0;20.1
2018-02-13;1.0;26.0;6.0;20.2
2018-02-14;1.0;19.0;7.0;20.2
2018-02-15;1.0;26.1;9.0;20.3
2018-02-16;1.0;17.0;5.0;20.3
2018-02-17;1.0;14.8;4.0;20.1
2018-02-18;1.0;7.4;1.0;20.1
2018-02-19;1.0;9.0;0.0;20.1
2018-02-20;1.0;39.0;4.0;20.1
2018-02-21;1.0;34.0;3.0;20.1
2018-02-22;1.0;34.0;6.0;20.0
2018-02-23;1.0;33.0;6.0;20.0
2018-02-24;1.0;23.0;5.0;20.0
2018-02-25;1.0;15.0;3.0;20.0
2018-02-26;1.0;27.0;9.6;20.0
2018-02-27;1.0;32.0;12.6;19.9
2018-02-28;1.0;33.0;7.0;19.8
2018-03-01;1.0;25.0;4.0;19.6
2018-03-02;1.0;33.0;6.0;19.6
2018-03-03;1.0;28.0;5.0;19.6
2018-03-04;1.0;28.0;6.0;19.7
2018-03-05;1.0;48.0;8.0;19.7
2018-03-06;1.0;53.0;15.6;19.6
2018-03-07;1.0;49.0;12.0;19.6
2018-03-08;1.0;34.0;8.0;19.5
2018-03-09;1.0;41.0;9.0;19.4
2018-03-10;1.0;31.0;8.0;19.4
2018-03-11;1.0;29.0;7.0;19.3
2018-03-12;1.0;35.0;9.0;19.5
2018-03-13;1.0;42.0;10.0;19.4
2018-03-14;1.0;27.6;10.0;19.2
2018-03-15;1.0;38.0;8.0;19.1
2018-03-16;1.0;32.0;8.0;19.2
2018-03-17;1.0;28.0;7.0;19.1
2018-03-18;1.0;17.0;3.0;19.1
2018-03-19;1.0;21.0;4.0;19.1
2018-03-20;1.0;27.0;7.0;18.9
2018-03-21;1.0;28.0;6.0;19.0
2018-03-22;1.0;31.0;7.0;18.7
2018-03-23;1.0;42.0;11.0;18.7
2018-03-24;1.0;35.0;8.0;18.7
2018-03-25;1.0;35.0;8.0;18.7
2018-03-26;1.0;38.0;11.0;18.6
2018-03-27;1.0;27.0;10.0;18.8
2018-03-28;1.0;27.0;8.0;18.4
2018-03-29;1.0;29.0;11.0;18.4
2018-03-30;1.0;23.0;8.8;18.4
2018-03-31;1.0;26.0;9.2;18.3
2018-04-01;1.0;32.0;12.6;18.5
2018-04-02;1.0;33.0;10.0;18.4
2018-04-03;1.0;32.0;10.0;18.2
2018-04-04;1.0;31.0;7.0;17.9
2018-04-05;1.0;20.0;6.0;17.8
2018-04-06;1.0;27.0;9.0;17.8
2018-04-07;1.0;26.0;9.0;17.7
2018-04-08;1.0;21.0;6.0;17.6
2018-04-09;1.0;26.0;6.0;17.7
2018-04-10;1.0;19.0;4.0;17.6
2018-04-11;1.0;18.0;4.0;17.5
2018-04-12;1.0;17.0;4.0;17.4
2018-04-13;1.0;21.0;4.0;17.6
2018-04-14;1.0;17.0;4.0;17.5
2018-04-15;1.0;18.0;7.0;17.4
2018-04-16;1.0;17.0;7.0;17.2
2018-04-17;1.0;33.0;8.0;17.1
2018-04-18;1.0;42.0;15.0;17.2
2018-04-19;1.0;26.0;11.0;17.1
2018-04-20;1.0;32.0;11.0;16.9
2018-04-21;1.0;21.0;11.0;16.7
2018-04-22;1.0;26.0;11.0;16.8
2018-04-23;1.0;21.0;9.0;16.6
2018-04-24;1.0;30.0;11.0;16.9
2018-04-25;1.0;28.0;9.0;16.7
2018-04-26;1.0;24.0;9.0;16.3
2018-04-27;1.0;28.0;15.0;16.4
2018-04-28;1.0;26.0;12.0;16.3
2018-04-29;1.0;21.0;10.0;16.5
2018-04-30;1.0;19.0;6.7;16.3
2018-05-01;1.0;13.0;3.0;16.2
2018-05-02;1.0;18.0;5.0;16.1
2018-05-03;1.0;23.0;9.0;16.2
2018-05-04;1.0;35.0;14.0;16.2
2018-05-05;1.0;26.0;14.0;16.4
2018-05-06;1.0;28.0;10.0;16.3
2018-05-07;1.0;27.0;10.0;16.3
2018-05-08;1.0;16.0;5.0;16.0
2018-05-09;1.0;28.0;9.0;16.0
2018-05-10;1.0;29.0;4.0;15.9
2018-05-11;1.0;25.0;8.0;15.9
